Rank 2013-14,Institution,Country,Teaching,Research,Citations,Ind. Income,Int. Outlook,Overall Score
154,Karlsruhe Institute of Technology,Germany,39,33.6,64.8,83,61.9,48
155,"Université Joseph Fourier, Grenoble",France,39.1,27.6,75.6,36.1,57.1,47.8
156,École Normale Supérieure de Lyon,France,37.1,35.2,67.7,30,63.3,47.5
157,University of Bern,Switzerland,38.9,31.4,64.3,45.1,78.5,47.4
157,University of Nottingham,UK,38.4,36.3,62.3,39.2,70.3,47.4
159,Texas A&M University,US,43,50.2,48.6,47.5,46.8,47.2
160,Georgetown University,US,51.9,25.6,62.3,71.9,43.6,47
161,University College Dublin,RepublicofIreland,27.1,29,77,33.1,79.6,46.7
161,University of Iowa,US,44.2,31.6,70.4,0,29.3,46.7
161,University of Leicester,UK,32.5,32.9,66.9,33.7,81.6,46.7
164,University of Antwerp,Belgium,34.5,33.2,64.1,100,61.1,46.6
164,University of Auckland,NewZealand,26.7,33.5,67,74.5,88,46.6
164,Brandeis University,US,28.8,24.3,86.5,36.8,50.6,46.6
164,Pompeu Fabra University,Spain,27,27.1,85.2,37.3,51.7,46.6
168,University of Western Australia,Australia,34.6,34.7,58,63.3,88.6,46.4
169,University of Liverpool,UK,31.1,31.2,70.3,37.7,75,46.3
170,University of Twente,Netherlands,32.7,43.8,54.3,81.8,65.5,46.2
170,University of Vienna,Austria,35.8,36.1,57.4,29.3,89.5,46.2
172,Université Catholique de Louvain,Belgium,30.1,35.3,67.5,57.8,63.4,46.1
172,Yeshiva University,US,47.3,20.6,77.5,0,25.6,46.1
174,University of Delaware,US,27,35.5,73.6,98.1,37.1,46
174,University of East Anglia,UK,27.2,24,81.7,29.5,72.3,46
176,University at Buffalo,US,40.2,39.3,56.2,39.4,55.4,45.9
176,Université Libre de Bruxelles,Belgium,22.7,30.4,77.8,0,77.5,45.9
178,Université Paris Diderot - Paris7,France,24,19.1,90.2,29.1,67,45.8
178,Stony Brook University,US,32.5,22.9,80.3,32.3,57.8,45.8
180,Wake ForestUniversity,US,36.1,21.8,85.1,38.8,23.7,45.7
181,Universität Bonn,Germany,35.8,20.4,80.7,0,54.2,45.6
181,Rensselaer Polytechnic Institute,US,30.7,35.5,71.5,65.6,35.6,45.6
183,Iowa State University,US,35.6,32.4,71.5,28.2,38.8,45.5
184,Northeastern University,US,34.5,19.8,82,34.5,48.5,45.4
185,University of Miami,US,43.2,25.8,71.5,0,32.9,45.3
185,University of Oslo,Norway,32.4,33,65.4,32.5,70.3,45.3
185,University of Ottawa,Canada,36.5,34.8,60.6,41.6,62.4,45.3
188,University of Aberdeen,UK,27.9,26.8,71.3,45.1,83.6,45.2
188,University of Texas at Dallas,US,25.5,28.6,81.2,44.4,46.8,45.2
190,Yonsei University,SouthKorea,44.5,47,44.2,70.1,35,45.1
191,Hebrew University of Jerusalem,Israel,42.8,37,54.3,33.3,52.9,45
191,University of Illinois at Chicago,US,45.5,34.9,56.2,31.1,43.3,45
193,Mines ParisTech,France,41.6,22.5,62.7,99.1,58.7,44.9
194,George Washington University,US,45.6,26.3,65.9,30,36,44.8
194,University of Reading,UK,36,34.1,58.7,34.4,70.6,44.8
196,University of Dundee,UK,22.5,21.4,84.9,46.5,65.7,44.7
197,Florida Institute of Technology,US,15.9,14.5,99,44.7,61.5,44.6
198,Newcastle University,UK,29.7,28.3,68.1,36.9,76.3,44.5
199,Bõgaziçi University,Turkey,20.5,22.8,88.2,45.9,49.8,44.3
